Reading velocity data and mesh from: /scratch/general/nfs1/u1447794/Phase4/turbulent_channel_data/velocity_
Data matrix X is n by m: 16384 x 1000
POD error with  4  modes: 0.8443759549294912
#################################################################
#################################################################
Running on GPU
Number of terms in polynomial library: 15
Total number of parameters in DESMO: 92575
Epoch [541/60000], Rec Loss: 0.039238050580, Spatial ortho loss: 0.00076610, L1 loss: 10.8580 
Epoch [551/60000], Rec Loss: 0.038474965841, Spatial ortho loss: 0.00076620, L1 loss: 10.8326 
Epoch [561/60000], Rec Loss: 0.037736862898, Spatial ortho loss: 0.00076628, L1 loss: 10.8160 
Epoch [571/60000], Rec Loss: 0.037022486329, Spatial ortho loss: 0.00076638, L1 loss: 10.7873 
Epoch [581/60000], Rec Loss: 0.036330673844, Spatial ortho loss: 0.00076647, L1 loss: 10.7698 
Epoch [591/60000], Rec Loss: 0.035660345107, Spatial ortho loss: 0.00076656, L1 loss: 10.7438 
Epoch [601/60000], Rec Loss: 0.035010468215, Spatial ortho loss: 0.00076664, L1 loss: 10.7360 
Epoch [611/60000], Rec Loss: 0.034380096942, Spatial ortho loss: 0.00076674, L1 loss: 10.7049 
Epoch [621/60000], Rec Loss: 0.033768359572, Spatial ortho loss: 0.00076680, L1 loss: 10.6836 
Epoch [631/60000], Rec Loss: 0.033174391836, Spatial ortho loss: 0.00076689, L1 loss: 10.6666 
Epoch [641/60000], Rec Loss: 0.032597430050, Spatial ortho loss: 0.00076697, L1 loss: 10.6396 
Epoch [651/60000], Rec Loss: 0.032036729157, Spatial ortho loss: 0.00076706, L1 loss: 10.6189 
Epoch [661/60000], Rec Loss: 0.031491585076, Spatial ortho loss: 0.00076713, L1 loss: 10.6012 
Epoch [671/60000], Rec Loss: 0.030961353332, Spatial ortho loss: 0.00076722, L1 loss: 10.5806 
Epoch [681/60000], Rec Loss: 0.030445409939, Spatial ortho loss: 0.00076729, L1 loss: 10.5606 
Epoch [691/60000], Rec Loss: 0.029943171889, Spatial ortho loss: 0.00076737, L1 loss: 10.5413 
Epoch [701/60000], Rec Loss: 0.029454085976, Spatial ortho loss: 0.00076745, L1 loss: 10.5222 
Epoch [711/60000], Rec Loss: 0.028978357092, Spatial ortho loss: 0.00076753, L1 loss: 10.5043 
Epoch [721/60000], Rec Loss: 0.029012173414, Spatial ortho loss: 0.00076763, L1 loss: 10.4814 
Epoch [731/60000], Rec Loss: 0.029886664823, Spatial ortho loss: 0.00076766, L1 loss: 10.4602 
Epoch [741/60000], Rec Loss: 0.030488207936, Spatial ortho loss: 0.00076756, L1 loss: 10.4406 
Epoch [751/60000], Rec Loss: 0.030965246260, Spatial ortho loss: 0.00076738, L1 loss: 10.4178 
Epoch [761/60000], Rec Loss: 0.031493730843, Spatial ortho loss: 0.00076718, L1 loss: 10.4077 
Epoch [771/60000], Rec Loss: 0.032193545252, Spatial ortho loss: 0.00076696, L1 loss: 10.3829 
Epoch [781/60000], Rec Loss: 0.032444521785, Spatial ortho loss: 0.00076679, L1 loss: 10.3600 
Epoch [791/60000], Rec Loss: 0.033204477280, Spatial ortho loss: 0.00076669, L1 loss: 10.3396 
Epoch [801/60000], Rec Loss: 0.035302139819, Spatial ortho loss: 0.00076671, L1 loss: 10.3148 
Epoch [811/60000], Rec Loss: 0.036552965641, Spatial ortho loss: 0.00076686, L1 loss: 10.2970 
Epoch [821/60000], Rec Loss: 0.037965022027, Spatial ortho loss: 0.00076712, L1 loss: 10.2751 
Epoch [831/60000], Rec Loss: 0.039262179285, Spatial ortho loss: 0.00076746, L1 loss: 10.2510 
Epoch [841/60000], Rec Loss: 0.040339358151, Spatial ortho loss: 0.00076790, L1 loss: 10.2264 
Epoch [851/60000], Rec Loss: 0.041266355664, Spatial ortho loss: 0.00076838, L1 loss: 10.2050 
Epoch [861/60000], Rec Loss: 0.042034234852, Spatial ortho loss: 0.00076891, L1 loss: 10.1773 
Epoch [871/60000], Rec Loss: 0.042650055140, Spatial ortho loss: 0.00076950, L1 loss: 10.1519 
Epoch [881/60000], Rec Loss: 0.043125610799, Spatial ortho loss: 0.00077011, L1 loss: 10.1272 
Epoch [891/60000], Rec Loss: 0.043471027166, Spatial ortho loss: 0.00077075, L1 loss: 10.1047 
Epoch [901/60000], Rec Loss: 0.043705921620, Spatial ortho loss: 0.00077142, L1 loss: 10.0753 
Epoch [911/60000], Rec Loss: 0.043842714280, Spatial ortho loss: 0.00077213, L1 loss: 10.0474 
Epoch [921/60000], Rec Loss: 0.043894831091, Spatial ortho loss: 0.00077285, L1 loss: 10.0241 
Epoch [931/60000], Rec Loss: 0.043869484216, Spatial ortho loss: 0.00077359, L1 loss: 9.9936 
Epoch [941/60000], Rec Loss: 0.043776128441, Spatial ortho loss: 0.00077435, L1 loss: 9.9723 
Epoch [951/60000], Rec Loss: 0.043623965234, Spatial ortho loss: 0.00077511, L1 loss: 9.9394 
Epoch [961/60000], Rec Loss: 0.043419860303, Spatial ortho loss: 0.00077591, L1 loss: 9.9195 
Epoch [971/60000], Rec Loss: 0.043172284961, Spatial ortho loss: 0.00077672, L1 loss: 9.8910 
Epoch [981/60000], Rec Loss: 0.042885247618, Spatial ortho loss: 0.00077754, L1 loss: 9.8645 
Epoch [991/60000], Rec Loss: 0.042565301061, Spatial ortho loss: 0.00077837, L1 loss: 9.8356 
Epoch [1001/60000], Rec Loss: 0.042217653245, Spatial ortho loss: 0.00077921, L1 loss: 9.8096 
Epoch [1011/60000], Rec Loss: 0.041846100241, Spatial ortho loss: 0.00078007, L1 loss: 9.7793 
Epoch [1021/60000], Rec Loss: 0.041454833001, Spatial ortho loss: 0.00078094, L1 loss: 9.7568 
Epoch [1031/60000], Rec Loss: 0.041046883911, Spatial ortho loss: 0.00078183, L1 loss: 9.7221 
Epoch [1041/60000], Rec Loss: 0.040624886751, Spatial ortho loss: 0.00078272, L1 loss: 9.7026 
Epoch [1051/60000], Rec Loss: 0.040193110704, Spatial ortho loss: 0.00078363, L1 loss: 9.6704 
Epoch [1061/60000], Rec Loss: 0.039751417935, Spatial ortho loss: 0.00078456, L1 loss: 9.6455 
Epoch [1071/60000], Rec Loss: 0.039303906262, Spatial ortho loss: 0.00078548, L1 loss: 9.6186 
Epoch [1081/60000], Rec Loss: 0.038851141930, Spatial ortho loss: 0.00078641, L1 loss: 9.5894 
Epoch [1091/60000], Rec Loss: 0.038394998759, Spatial ortho loss: 0.00078736, L1 loss: 9.5643 
Epoch [1101/60000], Rec Loss: 0.037936717272, Spatial ortho loss: 0.00078832, L1 loss: 9.5400 
Epoch [1111/60000], Rec Loss: 0.037478365004, Spatial ortho loss: 0.00078930, L1 loss: 9.5100 
Epoch [1121/60000], Rec Loss: 0.037019006908, Spatial ortho loss: 0.00079028, L1 loss: 9.4827 
Epoch [1131/60000], Rec Loss: 0.036561615765, Spatial ortho loss: 0.00079125, L1 loss: 9.4540 
Epoch [1141/60000], Rec Loss: 0.036105684936, Spatial ortho loss: 0.00079224, L1 loss: 9.4308 
Epoch [1151/60000], Rec Loss: 0.035651735961, Spatial ortho loss: 0.00079323, L1 loss: 9.4003 
Epoch [1161/60000], Rec Loss: 0.035200823098, Spatial ortho loss: 0.00079421, L1 loss: 9.3812 
Epoch [1171/60000], Rec Loss: 0.034753955901, Spatial ortho loss: 0.00079522, L1 loss: 9.3480 
Epoch [1181/60000], Rec Loss: 0.034310769290, Spatial ortho loss: 0.00079621, L1 loss: 9.3246 
Epoch [1191/60000], Rec Loss: 0.033871524036, Spatial ortho loss: 0.00079721, L1 loss: 9.3005 
Epoch [1201/60000], Rec Loss: 0.033436458558, Spatial ortho loss: 0.00079820, L1 loss: 9.2729 
Epoch [1211/60000], Rec Loss: 0.033006355166, Spatial ortho loss: 0.00079921, L1 loss: 9.2480 
Epoch [1221/60000], Rec Loss: 0.032580826432, Spatial ortho loss: 0.00080023, L1 loss: 9.2212 
Epoch [1231/60000], Rec Loss: 0.032160464674, Spatial ortho loss: 0.00080125, L1 loss: 9.1941 
Epoch [1241/60000], Rec Loss: 0.031745135784, Spatial ortho loss: 0.00080227, L1 loss: 9.1725 
Epoch [1251/60000], Rec Loss: 0.031335163862, Spatial ortho loss: 0.00080330, L1 loss: 9.1446 
Epoch [1261/60000], Rec Loss: 0.030930139124, Spatial ortho loss: 0.00080432, L1 loss: 9.1224 
Epoch [1271/60000], Rec Loss: 0.030530629680, Spatial ortho loss: 0.00080534, L1 loss: 9.0921 
Epoch [1281/60000], Rec Loss: 0.030136492103, Spatial ortho loss: 0.00080637, L1 loss: 9.0697 
Epoch [1291/60000], Rec Loss: 0.029747407883, Spatial ortho loss: 0.00080742, L1 loss: 9.0466 
