Reading velocity data and mesh from: /scratch/general/nfs1/u1447794/Phase4/ICA_data/velocity_
Data matrix X is n by m: 27000 x 1000
POD error with  4  modes: 0.24450437823542415
#################################################################
#################################################################
Running on GPU
Number of terms in polynomial library: 15
Total number of parameters in DESMO: 135039
Epoch [541/100000], Rec Loss: 0.08682224, Spatial ortho loss: 0.00143647, L1 loss: 9.23058987 
Epoch [551/100000], Rec Loss: 0.08355128, Spatial ortho loss: 0.00144056, L1 loss: 9.22342682 
Epoch [561/100000], Rec Loss: 0.08044687, Spatial ortho loss: 0.00144446, L1 loss: 9.20881081 
Epoch [571/100000], Rec Loss: 0.07749829, Spatial ortho loss: 0.00144826, L1 loss: 9.20290184 
Epoch [581/100000], Rec Loss: 0.07469562, Spatial ortho loss: 0.00145193, L1 loss: 9.20015717 
Epoch [591/100000], Rec Loss: 0.07202969, Spatial ortho loss: 0.00145545, L1 loss: 9.18918419 
Epoch [601/100000], Rec Loss: 0.06949206, Spatial ortho loss: 0.00145888, L1 loss: 9.18975449 
Epoch [611/100000], Rec Loss: 0.06707484, Spatial ortho loss: 0.00146218, L1 loss: 9.18106556 
Epoch [621/100000], Rec Loss: 0.06477083, Spatial ortho loss: 0.00146539, L1 loss: 9.17668915 
Epoch [631/100000], Rec Loss: 0.06257322, Spatial ortho loss: 0.00146851, L1 loss: 9.17389679 
Epoch [641/100000], Rec Loss: 0.06047582, Spatial ortho loss: 0.00147154, L1 loss: 9.16651249 
Epoch [651/100000], Rec Loss: 0.05847275, Spatial ortho loss: 0.00147448, L1 loss: 9.16924191 
Epoch [661/100000], Rec Loss: 0.05655863, Spatial ortho loss: 0.00147733, L1 loss: 9.16591644 
Epoch [671/100000], Rec Loss: 0.05472841, Spatial ortho loss: 0.00148011, L1 loss: 9.16337967 
Epoch [681/100000], Rec Loss: 0.05297742, Spatial ortho loss: 0.00148281, L1 loss: 9.16420269 
Epoch [691/100000], Rec Loss: 0.05130126, Spatial ortho loss: 0.00148543, L1 loss: 9.16592216 
Epoch [701/100000], Rec Loss: 0.04969585, Spatial ortho loss: 0.00148800, L1 loss: 9.16626644 
