Reading velocity data and mesh from: /scratch/general/nfs1/u1447794/Phase4/cylinder_data/velocity_
Data matrix X is n by m: 3961 x 1001
POD error with  4  modes: 0.12567867638348762
#################################################################
#################################################################
Running on GPU
Number of terms in polynomial library: 35
Total number of parameters in DESMO: 62950
Epoch [541/100000], Rec Loss: 0.047778978944, Spatial ortho loss: 0.00086462, L1 loss: 10.2604 
Epoch [551/100000], Rec Loss: 0.045013949275, Spatial ortho loss: 0.00086457, L1 loss: 10.2550 
Epoch [561/100000], Rec Loss: 0.042220141739, Spatial ortho loss: 0.00086444, L1 loss: 10.2301 
Epoch [571/100000], Rec Loss: 0.070357143879, Spatial ortho loss: 0.00086190, L1 loss: 10.2188 
Epoch [581/100000], Rec Loss: 0.103972986341, Spatial ortho loss: 0.00084427, L1 loss: 10.2055 
Epoch [591/100000], Rec Loss: 0.135665372014, Spatial ortho loss: 0.00082232, L1 loss: 10.2166 
Epoch [601/100000], Rec Loss: 0.115258470178, Spatial ortho loss: 0.00078462, L1 loss: 10.2025 
Epoch [611/100000], Rec Loss: 0.076707705855, Spatial ortho loss: 0.00077366, L1 loss: 10.2041 
Epoch [621/100000], Rec Loss: 0.057754915208, Spatial ortho loss: 0.00076789, L1 loss: 10.2000 
Epoch [631/100000], Rec Loss: 0.067825987935, Spatial ortho loss: 0.00077173, L1 loss: 10.1943 
Epoch [641/100000], Rec Loss: 0.046297669411, Spatial ortho loss: 0.00077395, L1 loss: 10.1791 
Epoch [651/100000], Rec Loss: 0.043441127986, Spatial ortho loss: 0.00077600, L1 loss: 10.1754 
Epoch [661/100000], Rec Loss: 0.037471476942, Spatial ortho loss: 0.00077506, L1 loss: 10.1634 
Epoch [671/100000], Rec Loss: 0.035377476364, Spatial ortho loss: 0.00077312, L1 loss: 10.1484 
Epoch [681/100000], Rec Loss: 0.033814489841, Spatial ortho loss: 0.00077152, L1 loss: 10.1383 
Epoch [691/100000], Rec Loss: 0.032413281500, Spatial ortho loss: 0.00077110, L1 loss: 10.1270 
Epoch [701/100000], Rec Loss: 0.031215336174, Spatial ortho loss: 0.00077196, L1 loss: 10.1200 
Epoch [711/100000], Rec Loss: 0.030126778409, Spatial ortho loss: 0.00077340, L1 loss: 10.1159 
Epoch [721/100000], Rec Loss: 0.029143987224, Spatial ortho loss: 0.00077489, L1 loss: 10.1127 
Epoch [731/100000], Rec Loss: 0.028231121600, Spatial ortho loss: 0.00077601, L1 loss: 10.1018 
Epoch [741/100000], Rec Loss: 0.027374265715, Spatial ortho loss: 0.00077668, L1 loss: 10.0941 
Epoch [751/100000], Rec Loss: 0.026565896347, Spatial ortho loss: 0.00077699, L1 loss: 10.0896 
Epoch [761/100000], Rec Loss: 0.025799974799, Spatial ortho loss: 0.00077703, L1 loss: 10.0801 
Epoch [771/100000], Rec Loss: 0.025072056800, Spatial ortho loss: 0.00077692, L1 loss: 10.0764 
Epoch [781/100000], Rec Loss: 0.024378102273, Spatial ortho loss: 0.00077677, L1 loss: 10.0788 
Epoch [791/100000], Rec Loss: 0.023714626208, Spatial ortho loss: 0.00077651, L1 loss: 10.0736 
Epoch [801/100000], Rec Loss: 0.023078707978, Spatial ortho loss: 0.00077619, L1 loss: 10.0719 
Epoch [811/100000], Rec Loss: 0.022468073294, Spatial ortho loss: 0.00077580, L1 loss: 10.0587 
Epoch [821/100000], Rec Loss: 0.021880891174, Spatial ortho loss: 0.00077533, L1 loss: 10.0639 
Epoch [831/100000], Rec Loss: 0.021315576509, Spatial ortho loss: 0.00077477, L1 loss: 10.0603 
Epoch [841/100000], Rec Loss: 0.020770737901, Spatial ortho loss: 0.00077420, L1 loss: 10.0480 
Epoch [851/100000], Rec Loss: 0.020245185122, Spatial ortho loss: 0.00077357, L1 loss: 10.0487 
Epoch [861/100000], Rec Loss: 0.019737813622, Spatial ortho loss: 0.00077293, L1 loss: 10.0459 
Epoch [871/100000], Rec Loss: 0.019247621298, Spatial ortho loss: 0.00077225, L1 loss: 10.0496 
Epoch [881/100000], Rec Loss: 0.018773708493, Spatial ortho loss: 0.00077157, L1 loss: 10.0455 
Epoch [891/100000], Rec Loss: 0.018315231428, Spatial ortho loss: 0.00077090, L1 loss: 10.0374 
Epoch [901/100000], Rec Loss: 0.017871433869, Spatial ortho loss: 0.00077020, L1 loss: 10.0394 
Epoch [911/100000], Rec Loss: 0.017441606149, Spatial ortho loss: 0.00076954, L1 loss: 10.0383 
