Reading velocity data and mesh from: /scratch/general/nfs1/u1447794/Phase4/cylinder_data/velocity_
Data matrix X is n by m: 3961 x 1001
POD error with  2  modes: 0.3425140491385109
#################################################################
#################################################################
Running on GPU
Number of terms in polynomial library: 6
Total number of parameters in DESMO: 8204
Epoch [541/90000], Rec Loss: 0.298974454403, Spatial ortho loss: 0.00009426, L1 loss: 7.1605 
Epoch [551/90000], Rec Loss: 0.306777119637, Spatial ortho loss: 0.00009600, L1 loss: 7.2060 
Epoch [561/90000], Rec Loss: 0.219026565552, Spatial ortho loss: 0.00009874, L1 loss: 7.2552 
Epoch [571/90000], Rec Loss: 0.265323430300, Spatial ortho loss: 0.00010067, L1 loss: 7.3029 
Epoch [581/90000], Rec Loss: 0.225651547313, Spatial ortho loss: 0.00010137, L1 loss: 7.3487 
Epoch [591/90000], Rec Loss: 0.187520354986, Spatial ortho loss: 0.00010146, L1 loss: 7.3890 
Epoch [601/90000], Rec Loss: 0.182272389531, Spatial ortho loss: 0.00010127, L1 loss: 7.4208 
Epoch [611/90000], Rec Loss: 0.172515735030, Spatial ortho loss: 0.00010085, L1 loss: 7.4438 
Epoch [621/90000], Rec Loss: 0.164594888687, Spatial ortho loss: 0.00010028, L1 loss: 7.4590 
Epoch [631/90000], Rec Loss: 0.158748164773, Spatial ortho loss: 0.00009976, L1 loss: 7.4673 
Epoch [641/90000], Rec Loss: 0.153281942010, Spatial ortho loss: 0.00009929, L1 loss: 7.4698 
Epoch [651/90000], Rec Loss: 0.148221820593, Spatial ortho loss: 0.00009878, L1 loss: 7.4673 
Epoch [661/90000], Rec Loss: 0.143511354923, Spatial ortho loss: 0.00009821, L1 loss: 7.4608 
Epoch [671/90000], Rec Loss: 0.139075890183, Spatial ortho loss: 0.00009759, L1 loss: 7.4508 
Epoch [681/90000], Rec Loss: 0.134889572859, Spatial ortho loss: 0.00009695, L1 loss: 7.4380 
Epoch [691/90000], Rec Loss: 0.130920544267, Spatial ortho loss: 0.00009631, L1 loss: 7.4229 
Epoch [701/90000], Rec Loss: 0.127146884799, Spatial ortho loss: 0.00009568, L1 loss: 7.4057 
Epoch [711/90000], Rec Loss: 0.123550325632, Spatial ortho loss: 0.00009506, L1 loss: 7.3867 
Epoch [721/90000], Rec Loss: 0.120115324855, Spatial ortho loss: 0.00009446, L1 loss: 7.3662 
Epoch [731/90000], Rec Loss: 0.116829670966, Spatial ortho loss: 0.00009390, L1 loss: 7.3442 
Epoch [741/90000], Rec Loss: 0.113682515919, Spatial ortho loss: 0.00009336, L1 loss: 7.3210 
Epoch [751/90000], Rec Loss: 0.110664933920, Spatial ortho loss: 0.00009283, L1 loss: 7.2966 
Epoch [761/90000], Rec Loss: 0.107768781483, Spatial ortho loss: 0.00009232, L1 loss: 7.2710 
Epoch [771/90000], Rec Loss: 0.104986585677, Spatial ortho loss: 0.00009183, L1 loss: 7.2445 
Epoch [781/90000], Rec Loss: 0.102311022580, Spatial ortho loss: 0.00009136, L1 loss: 7.2169 
Epoch [791/90000], Rec Loss: 0.099735528231, Spatial ortho loss: 0.00009087, L1 loss: 7.1883 
Epoch [801/90000], Rec Loss: 0.097253955901, Spatial ortho loss: 0.00009040, L1 loss: 7.1589 
