Reading velocity data and mesh from: /scratch/general/nfs1/u1447794/Phase4/ICA_data/velocity_
Data matrix X is n by m: 27000 x 1000
POD error with  2  modes: 0.31892968560852825
Running on GPU
Number of terms in polynomial library: 6
Total number of parameters in DESMO: 54762
Epoch [551/100000], Rec Loss: 1.16583014, Spatial ortho loss: 0.00006792, L1 loss: 6.71060133 
Epoch [561/100000], Rec Loss: 1.12184322, Spatial ortho loss: 0.00006813, L1 loss: 6.69107342 
Epoch [571/100000], Rec Loss: 1.07999015, Spatial ortho loss: 0.00006834, L1 loss: 6.67157888 
Epoch [581/100000], Rec Loss: 1.04014122, Spatial ortho loss: 0.00006852, L1 loss: 6.65210676 
Epoch [591/100000], Rec Loss: 1.00217533, Spatial ortho loss: 0.00006871, L1 loss: 6.63264656 
Epoch [601/100000], Rec Loss: 0.96598113, Spatial ortho loss: 0.00006890, L1 loss: 6.61319113 
Epoch [611/100000], Rec Loss: 0.93145430, Spatial ortho loss: 0.00006907, L1 loss: 6.59373140 
Epoch [621/100000], Rec Loss: 0.89849889, Spatial ortho loss: 0.00006922, L1 loss: 6.57426167 
Epoch [631/100000], Rec Loss: 0.86702538, Spatial ortho loss: 0.00006938, L1 loss: 6.55477190 
Epoch [641/100000], Rec Loss: 0.83695036, Spatial ortho loss: 0.00006952, L1 loss: 6.53525639 
Epoch [651/100000], Rec Loss: 0.80819613, Spatial ortho loss: 0.00006966, L1 loss: 6.51570749 
Epoch [661/100000], Rec Loss: 0.78069049, Spatial ortho loss: 0.00006980, L1 loss: 6.49611998 
Epoch [671/100000], Rec Loss: 0.75436628, Spatial ortho loss: 0.00006993, L1 loss: 6.47648668 
Epoch [681/100000], Rec Loss: 0.72916031, Spatial ortho loss: 0.00007006, L1 loss: 6.45680094 
Epoch [691/100000], Rec Loss: 0.70501328, Spatial ortho loss: 0.00007017, L1 loss: 6.43705797 
Epoch [701/100000], Rec Loss: 0.68186975, Spatial ortho loss: 0.00007027, L1 loss: 6.41725063 
Epoch [711/100000], Rec Loss: 0.65967846, Spatial ortho loss: 0.00007039, L1 loss: 6.39737511 
Epoch [721/100000], Rec Loss: 0.63839042, Spatial ortho loss: 0.00007048, L1 loss: 6.37742424 
Epoch [731/100000], Rec Loss: 0.61796045, Spatial ortho loss: 0.00007057, L1 loss: 6.35739422 
Epoch [741/100000], Rec Loss: 0.59834564, Spatial ortho loss: 0.00007065, L1 loss: 6.33728075 
Epoch [751/100000], Rec Loss: 0.57950586, Spatial ortho loss: 0.00007073, L1 loss: 6.31707668 
Epoch [761/100000], Rec Loss: 0.56140375, Spatial ortho loss: 0.00007080, L1 loss: 6.29677963 
Epoch [771/100000], Rec Loss: 0.54400444, Spatial ortho loss: 0.00007086, L1 loss: 6.27638245 
Epoch [781/100000], Rec Loss: 0.52727318, Spatial ortho loss: 0.00007091, L1 loss: 6.25588417 
Epoch [791/100000], Rec Loss: 0.51117927, Spatial ortho loss: 0.00007095, L1 loss: 6.23527861 
Epoch [801/100000], Rec Loss: 0.49569350, Spatial ortho loss: 0.00007099, L1 loss: 6.21456242 
Epoch [811/100000], Rec Loss: 0.48078626, Spatial ortho loss: 0.00007100, L1 loss: 6.19372892 
Epoch [821/100000], Rec Loss: 0.46643144, Spatial ortho loss: 0.00007103, L1 loss: 6.17277813 
Epoch [831/100000], Rec Loss: 0.45260376, Spatial ortho loss: 0.00007103, L1 loss: 6.15170145 
Epoch [841/100000], Rec Loss: 0.43928030, Spatial ortho loss: 0.00007102, L1 loss: 6.13049746 
Epoch [851/100000], Rec Loss: 0.42643896, Spatial ortho loss: 0.00007100, L1 loss: 6.10916042 
Epoch [861/100000], Rec Loss: 0.41405746, Spatial ortho loss: 0.00007099, L1 loss: 6.08768702 
Epoch [871/100000], Rec Loss: 0.40211585, Spatial ortho loss: 0.00007097, L1 loss: 6.06607437 
Epoch [881/100000], Rec Loss: 0.39059502, Spatial ortho loss: 0.00007093, L1 loss: 6.04431772 
Epoch [891/100000], Rec Loss: 0.37947702, Spatial ortho loss: 0.00007089, L1 loss: 6.02241039 
Epoch [901/100000], Rec Loss: 0.36874473, Spatial ortho loss: 0.00007084, L1 loss: 6.00035143 
Epoch [911/100000], Rec Loss: 0.35838199, Spatial ortho loss: 0.00007078, L1 loss: 5.98972893 
Epoch [921/100000], Rec Loss: 0.34837341, Spatial ortho loss: 0.00007073, L1 loss: 5.97796774 
Epoch [931/100000], Rec Loss: 0.33870423, Spatial ortho loss: 0.00007067, L1 loss: 5.96688318 
